Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
186190,"Forrest Gump (Forrest Gump, #1)",Winston Groom,"Groom, Winston",,0743453255,9780743453257,5,4.05,Washington Square Press,Paperback,248,2002,1986,29/06/20,23/06/20,,,read,"Let me write this: Forrest Gump is ain't no idiot, and all those who think otherwise need to get their heads examined.  <br/><br/>I picked up this book because of the hype around the movie Forrest Gump, I haven't seen the movie, but I can clearly see why people loved Gump. I know the book and the movie are quite different. And I assume that's the reason why some people didn't like the book at all. Maybe I might change my opinion once I do watch the movie. But today I'm only wondering how sometimes bein a idiot can take you to places where no sane person can ever go. <br/><br/><blockquote><br/>LET ME SAY THIS: bein a idiot is no box of chocolates. People laugh, lose patience, treat you shabby. Now they says folks sposed to be kind to the afflicted, but let me tell you—it ain't always that way. Even so, I got no complaints, cause I reckon I done live a pretty interestin life, so to speak.<br/></blockquote><br/><br/>In between there is a life filled with a series of adventures (or misadventures) that lead Gump to become a star football player, a war hero, an astronaut, a cotton farmer, a national level ping-pong player, a wrestler, a national level chess player, a music band member, an entrepreneur, and few other careers that I must have forgotten. Gump can give you a FOMO about living an ordinary life. Did I tell you that he even fought the presidential elections? And yet, he's only an idiot. Is he? You decide.<br/><br/><blockquote><br/>But let me tell you this: sometimes at night, when I look up at the stars, an see the whole sky jus laid out there, don't you think I ain't rememberin it all. I still got dreams like anybody else, an ever so often, I am thinkin about how things might of been. An then, all of a sudden, I'm forty, fifty, sixty years ole, you know?<br/><br/>Well, so what? I may be a idiot, but most of the time, anyway, I tried to do the right thing-- an dreams is jus dreams, ain't they? So whatever else has happened, I am figgerin this: I can always look back an say, at least I ain't led no hum-drum life.<br/><br/>You know what I mean?<br/></blockquote><br/><br/>It's funny on the face but a dark book by the heart. I really liked how the story came full circle in the end. <br/><br/>Note to self: be kind to the afflicted (including yourself)",,,1,,,0,,,,,
138269,Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,"Abagnale, Frank W.",Stan Redding,1840187166,9781840187168,0,4.03,Mainstream Publishing,Paperback,224,2003,1980,,30/06/20,to-read,to-read (#205),to-read,,,,0,,,0,,,,,
50269979,Social Entrepreneurship in India: Quarter Idealism and a Pound of Pragmatism,Madhukar Shukla,"Shukla, Madhukar",,,,0,4.11,Sage Publications Pvt. Ltd,Kindle Edition,284,2019,,,28/06/20,to-read,to-read (#204),to-read,,,,0,,,0,,,,,
25812847,The Silk Roads: A New History of the World,Peter Frankopan,"Frankopan, Peter",,1408839970,9781408839973,0,4.11,Bloomsbury,Hardcover,636,2015,2015,,26/06/20,to-read,to-read (#203),to-read,,,,0,,,0,,,,,
475197,Our Trees Still Grow In Dehra,Ruskin Bond,"Bond, Ruskin",,0140169024,9780140169027,0,4.22,Penguin,Paperback,108,2000,2000,,25/06/20,to-read,to-read (#202),to-read,,,,0,,,0,,,,,
9413297,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,,,0,4.24,St. Martin's Press,Kindle Edition,946,2004,2003,,24/06/20,to-read,to-read (#201),to-read,,,,0,,,0,,,,,
13259517,Steve Jobs: Thinking Differently,Patricia Lakin,"Lakin, Patricia",,1442453931,9781442453937,0,3.85,Aladdin,Paperback,192,2012,2011,,24/06/20,to-read,to-read (#200),to-read,,,,0,,,0,,,,,
6667,"Boy: Tales of Childhood (Roald Dahl's Autobiography, #1)",Roald Dahl,"Dahl, Roald",Quentin Blake,0141311401,9780141311401,5,4.05,Puffin Books,Paperback,176,2001,1984,22/06/20,21/06/20,,,read,"<i>None of these things is important, but each of them made such a tremendous impression on me that I have never been able to get them out of my mind. Each of them, even after a lapse of fifty and sometimes sixty years, has remained seared on my memory. </i><br/><br/>Little Dahl is accused of cheating and lying to his master Hardcastle. Master Hardcastle is not ready to listen to what Little Dahl has to say. He gives him a stripe. Now a stripe means five cane sticks on your bum from the Headmaster. The next day Little Dahl is invited to the Headmaster's chamber and is asked to lower his pyjamas and bend down. Litle Dahl keep explaining that he is innocent, but he just can't win in words with his Headmaster. Headmaster takes out his cane, and hits Little Dahl as hard as he possible can. Little Dahl writes that it felt like a rifle shot. He screams. The door of the chamber is open, possibly Master Hardcastle standing outside smiling, all his mates can hear to the screams of Little Dahl. They feel angust for the unjustice that has been done. When the Little Dahl returns to his dorm, all boys come to surrround him with sympathetic faces. But one of the boy is so violently incensed by the whole affair that he comes to him and says, 'I know why they did that to you, because you don't have a father. But I do, and I am going to write him what has happened. He'll see do something about it.'<br/><br/>Little Dahl knew that nothing will come out of this brave act, and nothing did. But Little Dahl nevertheless felt that it was a touching and generous gesture from one small boy to another.  <br/><br/>Now I have never read Roald Dahl before, I saw the spines of his books in the shelfs of my school library but for some reasons back then my heart always lingered around tech magazines and books with lots and lots of pictures. Dahl has an amazing talent of vividly taking the reader to the places that he has been to. If I ever decide to write an Autobiography of my own, this is exactly how I will try to write it. In form of short stories about the most memorable and impressive moments of my life. <br/><br/>And I have to start project dahl: read all his books.",,,1,,,0,,,,,
41018628,"The Rosie Result (Don Tillman, #3)",Graeme Simsion,"Simsion, Graeme",,1925773477,9781925773477,5,4.04,Text Publishing,Paperback,376,2019,2019,20/06/20,30/12/19,,,read,Amazing end to a heartwarming story of Don Tillman.  ,,,1,,,0,,,,,
35924705,"Herding Cats (Sarah's Scribbles, #3)",Sarah Andersen,"Andersen, Sarah",,1449489788,9781449489786,5,4.14,Andrews McMeel Publishing,Paperback,112,2018,2018,16/06/20,11/06/20,,,read,I can't have enough of her comics. ,,,1,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,0553588486,9780553588484,0,4.44,Bantam,Mass Market Paperback,835,2005,1996,,11/06/20,to-read,to-read (#199),to-read,,,,0,,,0,,,,,
